ID,expert_ID,language_code
880e8400-e29b-41d4-a716-000000000001,770e8400-e29b-41d4-a716-000000000001,de
880e8400-e29b-41d4-a716-000000000002,770e8400-e29b-41d4-a716-000000000001,en
880e8400-e29b-41d4-a716-000000000003,770e8400-e29b-41d4-a716-000000000002,de
880e8400-e29b-41d4-a716-000000000004,770e8400-e29b-41d4-a716-000000000002,en
880e8400-e29b-41d4-a716-000000000005,770e8400-e29b-41d4-a716-000000000003,de
880e8400-e29b-41d4-a716-000000000006,770e8400-e29b-41d4-a716-000000000003,en
880e8400-e29b-41d4-a716-000000000007,770e8400-e29b-41d4-a716-000000000003,fr
880e8400-e29b-41d4-a716-000000000008,770e8400-e29b-41d4-a716-000000000004,de
880e8400-e29b-41d4-a716-000000000009,770e8400-e29b-41d4-a716-000000000004,en
880e8400-e29b-41d4-a716-000000000010,770e8400-e29b-41d4-a716-000000000005,de
880e8400-e29b-41d4-a716-000000000011,770e8400-e29b-41d4-a716-000000000005,en
880e8400-e29b-41d4-a716-000000000012,770e8400-e29b-41d4-a716-000000000006,de
880e8400-e29b-41d4-a716-000000000013,770e8400-e29b-41d4-a716-000000000006,en
880e8400-e29b-41d4-a716-000000000014,770e8400-e29b-41d4-a716-000000000006,it
880e8400-e29b-41d4-a716-000000000015,770e8400-e29b-41d4-a716-000000000007,de
880e8400-e29b-41d4-a716-000000000016,770e8400-e29b-41d4-a716-000000000007,en
880e8400-e29b-41d4-a716-000000000017,770e8400-e29b-41d4-a716-000000000008,de
880e8400-e29b-41d4-a716-000000000018,770e8400-e29b-41d4-a716-000000000008,en
880e8400-e29b-41d4-a716-000000000019,770e8400-e29b-41d4-a716-000000000009,de
880e8400-e29b-41d4-a716-000000000020,770e8400-e29b-41d4-a716-000000000009,en
880e8400-e29b-41d4-a716-000000000021,770e8400-e29b-41d4-a716-000000000009,es
880e8400-e29b-41d4-a716-000000000022,770e8400-e29b-41d4-a716-000000000010,de
880e8400-e29b-41d4-a716-000000000023,770e8400-e29b-41d4-a716-000000000010,en
880e8400-e29b-41d4-a716-000000000024,770e8400-e29b-41d4-a716-000000000011,de
880e8400-e29b-41d4-a716-000000000025,770e8400-e29b-41d4-a716-000000000011,en
880e8400-e29b-41d4-a716-000000000026,770e8400-e29b-41d4-a716-000000000012,de
880e8400-e29b-41d4-a716-000000000027,770e8400-e29b-41d4-a716-000000000012,en
880e8400-e29b-41d4-a716-000000000028,770e8400-e29b-41d4-a716-000000000012,hu
880e8400-e29b-41d4-a716-000000000029,770e8400-e29b-41d4-a716-000000000013,de
880e8400-e29b-41d4-a716-000000000030,770e8400-e29b-41d4-a716-000000000013,en
880e8400-e29b-41d4-a716-000000000031,770e8400-e29b-41d4-a716-000000000014,de
880e8400-e29b-41d4-a716-000000000032,770e8400-e29b-41d4-a716-000000000014,en
880e8400-e29b-41d4-a716-000000000033,770e8400-e29b-41d4-a716-000000000015,de
880e8400-e29b-41d4-a716-000000000034,770e8400-e29b-41d4-a716-000000000015,en
880e8400-e29b-41d4-a716-000000000035,770e8400-e29b-41d4-a716-000000000015,pt
880e8400-e29b-41d4-a716-000000000036,770e8400-e29b-41d4-a716-000000000016,de
880e8400-e29b-41d4-a716-000000000037,770e8400-e29b-41d4-a716-000000000016,en
880e8400-e29b-41d4-a716-000000000038,770e8400-e29b-41d4-a716-000000000017,de
880e8400-e29b-41d4-a716-000000000039,770e8400-e29b-41d4-a716-000000000017,en
880e8400-e29b-41d4-a716-000000000040,770e8400-e29b-41d4-a716-000000000018,de
880e8400-e29b-41d4-a716-000000000041,770e8400-e29b-41d4-a716-000000000018,en
880e8400-e29b-41d4-a716-000000000042,770e8400-e29b-41d4-a716-000000000019,de
880e8400-e29b-41d4-a716-000000000043,770e8400-e29b-41d4-a716-000000000019,en
880e8400-e29b-41d4-a716-000000000044,770e8400-e29b-41d4-a716-000000000019,nl
880e8400-e29b-41d4-a716-000000000045,770e8400-e29b-41d4-a716-000000000020,de
880e8400-e29b-41d4-a716-000000000046,770e8400-e29b-41d4-a716-000000000020,en